55.2,47.59,46.58,42.94,59.15,45.91,39.22,40.17,43.92,41.66,50.86,79.41,38.61,57.45,65.96,59.9,46.43,73.81,87.09,66.52,43.27,85.84,50.28,42.07,79.03,50.34,61.8,51.76,92.71,47.3,71.22,45.26,50.84,64.98,41.89,50.39,43.67,62.08,49.71,57.35,51.91,52.18,46.39,46.26,59.54,50.06,46.74,52.64,10062.52,46.18,205.42,45.59,46.61,72.72,82.3,57.1,43.01,54.53,47.27,55.5,54.18,48.81,41.92,48.97,53,62.45,50.05,44.6,58.78,52.75,52.96,10073.83,56.77,77.83,36.51,10074.7,73.06,73.69,59.54,47.28,47.48,79.41,48.85,42.13,94.3,48.41,32.64,50.02,57.85,46.37,52.56,46.6,49.85,81.04,57.57,46.01,61.07,42.25,64.65,54.74
71.46,87.02,41.75,46.03,56.68,48.92,41.46,41.49,49.9,64.06,64.24,95.72,40.04,50.35,56.76,69.2,66.81,39.68,113.85,70.12,42.37,42.31,60.7,45.31,48.97,41.31,43.63,68.65,43.29,44.78,54.08,52.16,41.51,42.73,52,44.59,54.72,58.51,50.31,62.41,45.87,68.83,138.66,46.14,60.89,38.45,53.52,55.36,139.17,79.87,69.23,54.22,46.44,87.43,45.65,52.49,50.71,57.41,45.74,58.87,64.04,40.39,50.21,54.06,44.49,49.51,53.39,39.68,54,50.99,56.03,48.8,82,56.98,42.93,43.2,35.95,42.07,43.35,10056.64,40.27,47.73,38.83,50.69,140.54,52.53,46.12,10072.46,48.71,81.25,43.16,53.39,44.94,60.88,62.33,86.71,57.34,91.18,45.26,50.76
309.72,46.19,40.72,40.52,60,48.24,59.28,36.77,60.3,72.44,55.06,83.94,66.06,82.11,58.02,51.64,52.22,71.42,42.65,50.37,79.76,54.89,48.82,35.21,48.74,83.34,103.21,93.64,44.49,52.17,46.07,55.74,72.11,48.77,46.74,69.3,54.18,46.27,43.87,47.78,46.09,52.93,75.87,45.05,64.52,113.92,72.57,51.35,51.42,47.31,51.62,58.99,39.67,46.23,52.02,68.4,44.87,45.59,56.52,62.99,42.16,51.54,50.06,60.29,54.5,46.33,44.06,44.21,78.79,51.19,41.6,62.61,70.11,42.86,43.53,54.26,10077.68,36.96,42.95,51.2,43.84,59.23,43.31,45.82,37.9,47.66,42.07,75.17,45.71,48.17,61.63,45.53,10088.87,52.14,68.74,72.17,10090.63,44.65,52.53,54.96
45.63,49.12,55.55,39.1,40.89,51.52,57.57,50.86,46.32,54.68,49.03,55.95,43.37,85.51,131.5,62.78,56.95,87.57,76.95,54,50.18,45.92,50.04,40.21,59.12,89.88,78.63,45.44,48.43,57.72,59.3,77.36,55.67,44.61,38.02,43.02,51.35,46.34,44.34,50.14,93.84,55.61,76.96,55.07,88.24,36.34,88.04,43.94,56.28,55.33,64.52,44.38,56.5,60.1,46.35,63.93,66.08,76.9,56.1,92.52,52.66,54.28,56.26,65.14,52.33,87.51,87.23,45.2,83.86,52.07,59.82,63.34,59.07,50.88,39.99,56.82,37.91,46.25,64.9,64.52,78.55,37.92,38.43,54.28,43.32,45.32,54.19,51.37,57.08,58.86,46.07,48.39,46.84,49.49,44.97,38.1,46.26,46.9,45.59,10058.37
59.43,41.11,44.75,55.4,54,37.92,41.6,53.68,48.94,85.4,45.03,47.12,40.33,79.64,80.43,61.4,10053.94,107.91,97.27,608.99,47.01,56.46,56.79,39.69,60.19,64.76,55.21,69.81,81.84,62.16,48.09,45.2,67.11,48.7,40.4,61.27,89.21,55.54,44.6,63.56,56.58,46.99,48.57,58.27,56.27,77.99,87.08,40.36,44.14,51.21,48.64,50.42,52.26,54.82,43.02,50.52,47.8,59.18,44.18,52.27,53.49,54.93,44.39,44.16,60.7,66.7,10051.93,40.63,54.03,51.95,71.24,51.2,47.28,47.83,49.27,42.74,113.18,47.61,41.86,39.1,36.05,42.83,41.96,42.27,41.33,38.99,43.02,48.41,52.54,80.8,51.96,64.72,43.77,45.65,88.07,38.39,75.53,55.54,54.77,98.71
61.3,49.95,46.42,59.64,44.46,45.23,41.75,48.47,41.08,49.48,42.15,75.52,39.81,68.54,108.84,42.07,51.22,101.92,57.24,10064.21,58.46,76.3,49.73,54.74,42.55,75.42,49.51,51.48,42,51.6,56.84,61.91,65.96,89.9,54.89,56.96,46.03,52.68,48.67,43.4,49.78,51.8,51.45,46.37,47.96,36.79,45.7,63.84,64.38,82.03,49.3,48.57,55.55,67.98,55.6,46.83,61.34,46.58,81.49,64.3,71.94,47.72,86.6,42.64,51.53,58.94,39.13,49.47,62.92,41.47,46.85,50.08,62.81,45.73,45.36,42.31,10052.99,52.4,49.31,56.78,37.43,59.07,39.32,43.61,52.44,51.63,48.16,37.72,49.18,42.96,43.69,10068.13,56.92,65.88,43.75,42.11,55.01,46.32,44.08,10093.75
52.03,47.62,54.5,45.54,45.83,39.76,39.53,46.65,49.96,55.14,49.43,58.61,39.81,46.3,54.42,83.52,59.53,51.86,61.51,79.24,43.2,53.59,41.2,45.1,69.61,45.05,77.03,74.69,55.23,72.72,40.08,101.5,122.93,44.14,40.72,46.42,62.86,10059.67,64.04,48.1,63.47,45.5,44.87,43.78,41.1,70.57,86.08,40.54,40.31,55.29,41.18,55.58,68.91,39.9,45.38,41.27,58.43,52.86,50.55,76.91,84.31,84.77,45.27,54.16,74.91,56.47,84.31,42.08,63.98,85.81,88.64,64.36,10084.78,40.94,60.67,53.83,50.8,67.84,47.03,67.16,47.46,39.82,67.12,46.93,41.44,67.24,10098.11,50.3,67.97,48.82,52.38,66.07,42.08,58.58,70.86,57.36,51.07,50.11,54.97,69.76
43.73,44.14,70.57,39.65,40.3,51.63,42.37,55.84,54.74,59.76,47.09,57.25,38.23,10076.83,51.12,52.45,46.03,66.17,49.85,88.22,42.31,69.81,54.79,47.55,103.6,48.16,85.99,75.67,44.56,51.72,55.69,65.66,92.19,10084.56,45.66,46.34,44.87,62.58,52.1,52.94,44.07,49.82,53.75,54.07,48.79,38.67,44.72,48.65,45.6,41.43,50.69,52.36,53.66,86.1,54.18,67.02,36.26,100.39,110.58,50.83,58.65,53.3,71.59,41.82,52.98,59.96,49.58,41.89,61.3,53.56,51.46,69.24,48.99,50.32,69.48,47.61,42.22,45.97,49.85,48.97,69.72,43.3,43.5,142.07,10060.87,63.98,44.24,10104.12,49.09,57.76,56.12,46.91,10078.3,45.23,57.25,48.11,49.1,10057.96,52.18,45.04
61.65,42.37,37.83,46.29,47.64,62.73,46.31,45.73,51.09,72.36,48.55,83.73,35.83,49.37,47.33,56.74,83.53,67.84,62.42,71.12,65.99,42.16,53.69,51.42,44.35,58.77,51.06,46.32,47.65,35.85,43.38,85.23,53.98,137.01,36.8,45.69,42.59,63.19,58.48,51.26,50.7,50.65,47.84,48.95,43.35,40.07,45.68,48.14,71.44,42.26,59.58,52.66,82.9,85.55,68.55,47.25,38.42,67.02,48.76,77.01,46.11,49.28,75,43.72,86.98,73.68,49.9,51.96,66.08,50.69,67.78,72.07,55.23,41.33,46.55,51.87,49.45,86.15,56.85,45.41,10076.55,527.09,41.09,79.31,45.52,41.31,69.92,55.81,50.92,70.29,43.27,41.34,54.95,52.77,43.99,10052.07,75.33,43.82,49.03,48.67
45.99,10039.01,40.51,43.29,53.17,50.53,53.33,52.57,46,58.29,49.34,56.99,50.04,106.78,59.82,49.54,44.17,80.33,49.94,42.03,41.29,50.08,64.51,60.67,85.7,51.53,77.08,46.61,48.23,55.1,56.18,55.35,94.97,46.31,43.67,62.37,73.5,51.55,50.95,49.61,48.03,54.71,494.13,48.55,59.45,39.39,44.68,62.3,42.77,48.54,60.65,69.51,58.4,68.59,46.03,47.53,44.33,74.63,50.52,53.59,77.41,87.93,73.26,66.16,47.06,63.73,61.36,42.67,53.63,52.4,59.29,10069.73,44.47,48.97,39.49,38.08,49.05,64.74,47.28,45.45,40.95,50.26,39.86,40.7,56.42,44.7,73.48,56.22,44.55,45.11,79.33,44.21,54.5,57.07,47.57,60.42,48.18,46.87,61.59,39.59
